poster_url;rt_audience_score;rt_score;genres;Genre_1;Genre_2;Genre_3;imdb_rating;length;rank_in_year;rating;release_date;studio;title;worldwide_gross;year
http://resizing.flixster.com/r-jHJnq7IkHekLIFY6DWq7SzqZ8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/82/11168295_ori.jpg;4.1;8.2;"Thriller
Adventure
Action";Thriller;Adventure;Action;7.8;143;2;PG-13;9-Nov-12;MGM / Columbia;Skyfall;1108561013;2012
http://resizing.flixster.com/NPbllUZcrY9PEkGNHGxKBIgFdq8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/74/11167406_ori.jpg;3.9;6.7;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;7.1;136;7;PG-13;3-Jul-12;Columbia;The Amazing Spider-Man;757930663;2012
http://resizing.flixster.com/OmSu9IRUNKgrdmyE2uNhf0f0ToE=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/38/11163886_ori.jpg;4.4;8.0;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;8.2;143;1;PG-13;4-May-12;Marvel Studios;The Avengers;1518594910;2012
http://resizing.flixster.com/9zWAe7c1MPnVtaic66WXWomIkmI=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/93/11169337_ori.jpg;3.8;5.2;"Fantasy
Drama
Adventure";Fantasy;Drama;Adventure;5.6;115;6;PG-13;16-Nov-12;Lionsgate / Summit;The Twilight Saga: Breaking Dawn - Part 2;829685377;2012
http://resizing.flixster.com/2EEq8Qjx4aMkNdwlLypKTtnT1X4=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/64/11156447_ori.jpg;3.3;5.5;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;6.3;106;10;G;24-Jun-11;Walt Disney Pictures / Pixar;Cars 2;559852396;2011
http://resizing.flixster.com/PzlJtyZZ_remAtYbrQ2_9t64B6k=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/30/11173000_ori.jpg;4.0;6.4;"Thriller
Crime
Action";Thriller;Crime;Action;7.3;131;7;PG-13;29-Apr-11;Universal;Fast Five;626137675;2011
http://resizing.flixster.com/jfPLvubmRh830uyxPTHQ1-hgj9I=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163675_ori.jpg;4.3;8.3;"Mystery
Fantasy
Adventure";Mystery;Fantasy;Adventure;8.1;130;1;PG-13;15-Jul-11;Warner Bros.;Harry Potter and the Deathly Hallows - Part 2;1341511219;2011
http://resizing.flixster.com/dJ62KC8VCmLwVq0045kP0a0RvEE=/173x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/66/11156693_ori.jpg;3.8;6.9;"Animation
Adventure
Action";Animation;Adventure;Action;7.3;91;6;PG;26-May-11;Paramount / DreamWorks;Kung Fu Panda 2;665692281;2011
http://resizing.flixster.com/mkSB3etRkGB2js2wVcXWHBFXcag=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169152_ori.jpg;3.9;7.7;"Thriller
Adventure
Action";Thriller;Adventure;Action;7.4;133;5;PG-13;21-Dec-11;Paramount;Mission: Impossible - Ghost Protocol;694713380;2011
http://resizing.flixster.com/ucRrnQabHP8_IXOYKx55D8YB_oU=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/67/11156760_ori.jpg;3.5;5.1;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;6.7;136;3;PG-13;20-May-11;Walt Disney Pictures;Pirates of the Caribbean: On Stranger Tides;1045713802;2011
http://resizing.flixster.com/s5fZNIM3cQjt9AM6y_VC3jt1syc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163657_ori.jpg;3.1;4.0;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;5.5;103;9;PG;29-Jul-11;Columbia / Sony Pictures;The Smurfs;563749323;2011
http://resizing.flixster.com/l1HT4QSzRvdN4bcF0dsEpo3ywug=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/93/11169336_ori.jpg;4.5;0.0;"Fantasy
Drama
Adventure";Fantasy;Drama;Adventure;4.9;117;4;PG-13;18-Nov-11;Summit;The Twilight Saga: Breaking Dawn - Part 1;712171856;2011
http://resizing.flixster.com/SnAb2Xw6Wp8we8btiHQkf8xanHc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169150_ori.jpg;3.5;4.9;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;6.3;154;2;PG-13;29-Jun-11;Paramount;Transformers: Dark of the Moon;1123794079;2011
http://resizing.flixster.com/Keg-ch93mJuhBIB3t7zgFAf2N_c=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/73/10937308_ori.jpg;3.5;5.7;"Fantasy
Family
Adventure";Fantasy;Family;Adventure;6.5;108;2;PG;5-Mar-10;Walt Disney Pictures;Alice in Wonderland;1025467110;2010
http://resizing.flixster.com/VoG3m3OewOKv5t1EQbX-kwLFuAY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168864_ori.jpg;4.0;6.8;"Family
Comedy
Animation";Family;Comedy;Animation;7.7;95;9;PG;9-Jul-10;Universal / Illumination;Despicable Me;543113985;2010
http://resizing.flixster.com/VRBPaLlcQQjBaaobjVvpTavdEso=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163674_ori.jpg;4.1;7.1;"Fantasy
Family
Adventure";Fantasy;Family;Adventure;7.7;146;3;PG-13;19-Nov-10;Warner Bros.;Harry Potter and the Deathly Hallows - Part 1;960283305;2010
http://resizing.flixster.com/kSxnnx5oPhqDlOnvpGUQXpVoAsA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/66/11176619_ori.jpg;4.2;7.9;"Family
Animation
Adventure";Family;Animation;Adventure;8.2;98;10;PG;26-Mar-10;Paramount / DreamWorks;How to Train Your Dragon;494878759;2010
http://resizing.flixster.com/THwVJ6BnMSZz1ygWPdIEok_wVhA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166725_ori.jpg;4.2;8.0;"Sci-Fi
Mystery
Action";Sci-Fi;Mystery;Action;8.8;148;4;PG-13;16-Jul-10;Warner Bros. / Legendary;Inception;825531030;2010
http://resizing.flixster.com/-39Qh0s24nsZP81IZAbL774F6HA=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/20/11122085_ori.jpg;3.7;6.5;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;7.1;124;7;PG-13;7-May-10;Paramount / Marvel;Iron Man 2;623933331;2010
http://resizing.flixster.com/uEi0yf7uXt-KtUdkF-AGY9smjp0=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/76/11127605_ori.jpg;3.5;5.9;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;6.4;93;5;PG;21-May-10;Paramount / DreamWorks;Shrek Forever After;752600867;2010
http://resizing.flixster.com/UuaLvR-fxpgmESPegJcY0F2XJ-c=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/80/11158038_ori.png;4.1;7.5;"Family
Comedy
Animation";Family;Comedy;Animation;7.8;100;8;PG;24-Nov-10;Disney;Tangled;591794936;2010
http://resizing.flixster.com/caDfqgfBgZUEr0xairY8kwWQHGw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/43/11174382_ori.jpg;3.6;5.4;"Fantasy
Drama
Adventure";Fantasy;Drama;Adventure;4.9;124;6;PG-13;30-Jun-10;Summit Entertainment;The Twilight Saga: Eclipse;698491347;2010
http://resizing.flixster.com/Tv9f7mIJrCc--JvPXl60rMI3Pkw=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/11/13/43/11134356_ori.jpg;4.3;8.9;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;8.4;103;1;G;18-Jun-10;Walt Disney Pictures / Pixar;Toy Story 3;1063171911;2010
http://resizing.flixster.com/z_2ln7vpS1fHYrvEZAcr9bYztSI=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/95/34/10953481_ori.jpg;3.2;5.0;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;5.8;158;5;PG-13;13-Nov-09;Columbia;2012;769304749;2009
http://resizing.flixster.com/OPDpDBP1P_qiiOjKOW9042R4R3g=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176792_ori.jpg;4.1;7.4;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;7.9;162;1;PG-13;18-Dec-09;Fox;Avatar;-2147483648;2009
http://resizing.flixster.com/5jRb-4cS1AXhTEYE-wQ3wpHlZHY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/39/11163943_ori.jpg;3.8;7.2;"Fantasy
Family
Adventure";Fantasy;Family;Adventure;7.5;153;2;PG;15-Jul-09;Warner Bros.;Harry Potter and the Half-Blood Prince;934416487;2009
